Site,Stem_id,Plot,Date,Species,DBH,Distance,Azimuth,Genus,Specific epithet,Scientific name,Common name,functional_group
Talladega,823,64,7/5/2022,QUAL,13.4,7.7,123,Quercus ,alba,Quercus alba,white oak,uo
Talladega,825,64,7/5/2022,QUMO,18.5,2.9,21,Quercus ,montana,Quercus montana,chestnut oak,uo
Talladega,824,64,7/5/2022,QURU,14.5,,242,Quercus ,rubrum,Quercus rubrum,northern red oak,uo
MOT,732,58,5/19/2022,QUFA,16,7.5,347,Quercus ,falcata,Quercus falcata,southern red oak,uo
MOT,731,58,5/19/2022,QURU,13.8,7.1,272,Quercus ,rubrum,Quercus rubrum,northern red oak,uo
MOT,733,58,5/19/2022,QUAL,38.3,5.2,242,Quercus ,alba,Quercus alba,white oak,uo
MOT,730,58,5/19/2022,QUAL,13.7,2.1,243,Quercus ,alba,Quercus alba,white oak,uo
MOT,715,57,5/19/2022,QUAL,20.5,7.6,70,Quercus ,alba,Quercus alba,white oak,uo
MOT,714,57,5/19/2022,QUAL,18.7,6.8,61,Quercus ,alba,Quercus alba,white oak,uo
MOT,716,57,5/19/2022,QUFA,29.7,6,108,Quercus ,falcata,Quercus falcata,southern red oak,uo
MOT,713,57,5/19/2022,QUAL,13,5.4,140,Quercus ,alba,Quercus alba,white oak,uo
MOT,677,55,5/18/2022,QUAL,16.3,5.8,246,Quercus ,alba,Quercus alba,white oak,uo
MOT,678,55,5/18/2022,QUAL,18.5,5.5,349,Quercus ,alba,Quercus alba,white oak,uo
MOT,679,55,5/18/2022,QUAL,22.2,3.6,32,Quercus ,alba,Quercus alba,white oak,uo
MOT,641,53,5/18/2022,QUAL,17.8,6.8,198,Quercus ,alba,Quercus alba,white oak,uo
MOT,643,53,5/18/2022,QUAL,36.6,3.3,180,Quercus ,alba,Quercus alba,white oak,uo
MOT,628,52,5/18/2022,QUAL,19.9,6.5,101,Quercus ,alba,Quercus alba,white oak,uo
MOT,629,52,5/18/2022,QUAL,28.7,6,151,Quercus ,alba,Quercus alba,white oak,uo
MOT,630,52,5/18/2022,QUAL,35.9,5.2,90,Quercus ,alba,Quercus alba,white oak,uo
Tuskegee,564,47,6/2/2022,QUAL,11.3,7.6,240,Quercus ,alba,Quercus alba,white oak,uo
Tuskegee,560,47,6/2/2022,QUAL,10,7.5,271,Quercus ,alba,Quercus alba,white oak,uo
Tuskegee,562,47,6/2/2022,QUAL,10.8,6.6,238,Quercus ,alba,Quercus alba,white oak,uo
Tuskegee,563,47,6/2/2022,QUAL,10.9,6.5,213,Quercus ,alba,Quercus alba,white oak,uo
Tuskegee,565,47,6/2/2022,QUAL,12.2,4.4,356,Quercus ,alba,Quercus alba,white oak,uo
Tuskegee,569,47,6/2/2022,QUAL,15.4,3.9,353,Quercus ,alba,Quercus alba,white oak,uo
Tuskegee,552,45,6/2/2022,QUFA,40.6,2.5,24,Quercus ,falcata,Quercus falcata,southern red oak,uo
Tuskegee,511,41,6/7/2022,QUMA,10.2,7.3,218,Quercus ,marilandica,Quercus marilandica,blackjack oak,uo
MOT,399,33,2/24/2022,QUAL,18.3,6.81,140,Quercus ,alba,Quercus alba,white oak,uo
MOT,401,33,2/24/2022,QUAL,26.3,6.29,126,Quercus ,alba,Quercus alba,white oak,uo
MOT,398,33,2/24/2022,QUAL,16.5,3.98,96,Quercus ,alba,Quercus alba,white oak,uo
MOT,373,32,2/24/2022,QUAL,34.1,7.22,142,Quercus ,alba,Quercus alba,white oak,uo
MOT,371,32,2/24/2022,QURU,28.3,6.03,88,Quercus ,rubrum,Quercus rubrum,northern red oak,uo
MOT,370,32,2/24/2022,QUAL,25.3,3.78,309,Quercus ,alba,Quercus alba,white oak,uo
MOT,372,32,2/24/2022,QUAL,31.9,2.72,268,Quercus ,alba,Quercus alba,white oak,uo
MOT,331,30,5/18/2022,QUAL,10,5.5,282,Quercus ,alba,Quercus alba,white oak,uo
MOT,340,30,5/18/2022,QUFA,37.6,5.5,224,Quercus ,falcata,Quercus falcata,southern red oak,uo
MOT,320,29,5/18/2022,QUFA,28.6,8,75,Quercus ,falcata,Quercus falcata,southern red oak,uo
MOT,321,29,5/18/2022,QUAL,45.8,6.5,355,Quercus ,alba,Quercus alba,white oak,uo
MOT,319,29,5/18/2022,QUAL,20,6,127,Quercus ,alba,Quercus alba,white oak,uo
MOT,300,28,5/18/2022,QUFA,22.6,3.9,43,Quercus ,falcata,Quercus falcata,southern red oak,uo
MOT,285,27,5/19/2022,QUFA,14.5,7.3,184,Quercus ,falcata,Quercus falcata,southern red oak,uo
Kreher,228,23,5/19/2022,QUFA,46.2,7.8,258,Quercus ,falcata,Quercus falcata,southern red oak,uo
Kreher,227,23,5/19/2022,QUFA,22.4,6.2,271,Quercus ,falcata,Quercus falcata,southern red oak,uo
Kreher,156,19,5/19/2022,QUST,37.9,6.1,42,Quercus ,stellata,Quercus stellata,post oak,uo
Kreher,157,19,5/19/2022,QUST,39.5,5.9,90,Quercus ,stellata,Quercus stellata,post oak,uo
Tuskegee,133,12,6/6/2022,QUFA,26,5.54,,Quercus ,falcata,Quercus falcata,southern red oak,uo
Tuskegee,134,12,6/6/2022,QUFA,29.5,4.91,,Quercus ,falcata,Quercus falcata,southern red oak,uo
Tuskegee,135,12,6/6/2022,QUFA,30,4.73,,Quercus ,falcata,Quercus falcata,southern red oak,uo
Tuskegee,132,12,6/6/2022,QUVE,23.2,4.23,,Quercus ,velutina,Quercus velutina,black oak,uo
Tuskegee,123,9,6/6/2022,QUAL,30.4,6.7,,Quercus ,alba,Quercus alba,white oak,uo
Tuskegee,124,9,6/6/2022,QUAL,43.2,5.8,,Quercus ,alba,Quercus alba,white oak,uo
Tuskegee,125,9,6/6/2022,QUAL,44.2,5.5,,Quercus ,alba,Quercus alba,white oak,uo
Tuskegee,84,6,6/6/2022,QUFA,31.9,5.7,,Quercus ,falcata,Quercus falcata,southern red oak,uo
Tuskegee,80,6,6/6/2022,QUFA,15.5,5.4,,Quercus ,falcata,Quercus falcata,southern red oak,uo
Tuskegee,85,6,6/6/2022,QUAL,37.3,4.4,,Quercus ,alba,Quercus alba,white oak,uo
Tuskegee,8,1,6/10/2022,QUAL,32.8,6.8,287,Quercus ,alba,Quercus alba,white oak,uo
Talladega,997,80,7/6/2022,PRSE,21.5,7.8,313,Prunus,serotina,Prunusserotina,cherry,mesophyte
Talladega,996,80,7/6/2022,PRSE,21.1,2.6,351,Prunus,serotina,Prunusserotina,cherry,mesophyte
Talladega,878,67,7/5/2022,PRSE,32.4,1.3,355,Prunus,serotina,Prunusserotina,cherry,mesophyte
Talladega,859,66,7/5/2022,PRSE,24.3,4.8,299,Prunus,serotina,Prunusserotina,cherry,mesophyte
Talladega,826,64,7/5/2022,PRSE,12,5.2,3,Prunus,serotina,Prunusserotina,cherry,mesophyte
Talladega,809,63,7/5/2022,PRSE,25.3,7.3,218,Prunus,serotina,Prunusserotina,cherry,mesophyte
MOT,749,59,5/19/2022,PRSE,13.4,6.2,147,Prunus,serotina,Prunusserotina,cherry,mesophyte
MOT,631,52,5/18/2022,PRSE,14.7,4.1,142,Prunus,serotina,Prunusserotina,cherry,mesophyte
Tuskegee,527,42,6/2/2022,PRSE,12.8,7.6,88,Prunus,serotina,Prunusserotina,cherry,mesophyte
Tuskegee,482,39,6/7/2022,PRSE,10.4,4.8,59,Prunus,serotina,Prunusserotina,cherry,mesophyte
Tuskegee,430,34,6/7/2022,PRSE,12.3,3.8,128,Prunus,serotina,Prunusserotina,cherry,mesophyte
MOT,403,33,2/24/2022,PRSE,11.7,7.35,195,Prunus,serotina,Prunusserotina,cherry,mesophyte
MOT,402,33,2/24/2022,PRSE,7.3,3.6,183,Prunus,serotina,Prunusserotina,cherry,mesophyte
MOT,274,26,5/19/2022,PRSE,17.7,5.1,121,Prunus,serotina,Prunusserotina,cherry,mesophyte
MOT,273,26,5/19/2022,PRSE,14.2,4.3,123,Prunus,serotina,Prunusserotina,cherry,mesophyte
MOT,257,25,5/19/2022,PRSE,20.1,6.1,39,Prunus,serotina,Prunusserotina,cherry,mesophyte
MOT,258,25,5/19/2022,PRSE,21.3,6.1,39,Prunus,serotina,Prunusserotina,cherry,mesophyte
MOT,244,24,5/19/2022,PRSE,15,7.2,55,Prunus,serotina,Prunusserotina,cherry,mesophyte
MOT,242,24,5/19/2022,PRSE,10,4.3,54,Prunus,serotina,Prunusserotina,cherry,mesophyte
MOT,243,24,5/19/2022,PRSE,12.1,4.2,53,Prunus,serotina,Prunusserotina,cherry,mesophyte
Kreher,175,20,5/19/2022,PRSE,11.6,4.6,348,Prunus,serotina,Prunusserotina,cherry,mesophyte
Kreher,176,20,5/19/2022,PRSE,23,4,20,Prunus,serotina,Prunusserotina,cherry,mesophyte
Kreher,159,19,5/19/2022,PRSE,14.6,4.2,35,Prunus,serotina,Prunusserotina,cherry,mesophyte
CR,1237,107,6/1/2022,PIPA,17.2,7.2,42,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1242,107,6/1/2022,PIPA,26.6,6.1,149,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1244,107,6/1/2022,PIPA,32.3,6.1,38,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1238,107,6/1/2022,PIPA,17.5,5.6,39,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1236,107,6/1/2022,PIPA,17.1,4.3,303,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1239,107,6/1/2022,PIPA,22,3.8,79,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1243,107,6/1/2022,PIPA,28.6,3.8,90,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1245,107,6/1/2022,PIPA,33.4,3.4,242,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1246,107,6/1/2022,PIPA,34.9,3.1,219,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1241,107,6/1/2022,PIPA,26.6,2.4,11,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1240,107,6/1/2022,PIPA,26.3,2.1,88,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1235,107,6/1/2022,PIPA,15.1,1.2,352,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1227,106,6/1/2022,PIPA,24.5,7.2,140,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1229,106,6/1/2022,PIPA,25.4,6.7,268,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1225,106,6/1/2022,PIPA,21.9,6.3,329,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1224,106,6/1/2022,PIPA,13.8,6,318,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1230,106,6/1/2022,PIPA,45.3,4.5,46,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1228,106,6/1/2022,PIPA,25.4,3.1,265,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1226,106,6/1/2022,PIPA,24.1,2.9,192,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1215,105,6/1/2022,PIPA,45.2,2.6,17,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1214,105,6/1/2022,PITA,43.6,2.1,208,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
CR,1213,105,6/1/2022,PIPA,37.3,1.7,131,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1199,104,6/1/2022,PITA,16.5,8,16,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
CR,1202,104,6/1/2022,PIPA,33.8,5.7,124,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1203,104,6/1/2022,PIPA,34.8,4.1,314,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1200,104,6/1/2022,PIPA,27,3.6,163,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1201,104,6/1/2022,PIPA,31.3,1.7,232,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1188,103,6/1/2022,PIPA,47.8,5.7,235,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1184,103,6/1/2022,PIPA,24.9,4.8,34,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1186,103,6/1/2022,PIPA,41.2,4.5,356,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1187,103,6/1/2022,PIPA,45.3,4.2,84,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
CR,1185,103,6/1/2022,PIPA,31,2.5,21,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,1181,102,7/6/2022,PIPA,46.6,7.7,184,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,1178,102,7/6/2022,PITA,18.8,6.1,256,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1179,102,7/6/2022,PITA,27.5,3.5,218,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1180,102,7/6/2022,PITA,38.9,2.9,302,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1171,101,7/6/2022,PITA,30,7.7,192,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1168,101,7/6/2022,PITA,20.9,6.3,60,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1170,101,7/6/2022,PITA,29.2,4.1,15,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1169,101,7/6/2022,PITA,23.8,3.7,209,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1173,101,7/6/2022,PITA,35.2,1.4,32,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1172,101,7/6/2022,PITA,30.8,1,277,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1164,100,7/6/2022,PITA,38.6,5.7,82,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1165,100,7/6/2022,PITA,42,4.6,265,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1162,100,7/6/2022,PITA,29.1,3.2,212,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1163,100,7/6/2022,PITA,37.8,1.4,220,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1152,99,7/8/2022,PITA,91.4,2.3,274,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1143,98,7/8/2022,PITA,59.7,5.5,129,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1144,98,7/8/2022,PITA,60.2,2.4,13,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1138,97,7/8/2022,PITA,41.3,4.6,204,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1139,97,7/8/2022,PITA,45.7,3.7,38,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1140,97,7/8/2022,PITA,57,2.2,122,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1130,96,7/8/2022,PITA,38.4,6.2,203,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1128,96,7/8/2022,PITA,33.7,4.6,241,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1131,96,7/8/2022,PITA,64.3,3.6,26,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1129,96,7/8/2022,PITA,34,3.4,182,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1117,95,7/8/2022,PITA,56.4,8,241,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1116,95,7/8/2022,PITA,49.4,3.5,16,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1110,94,7/8/2022,PIEC,28.5,6.3,179,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1112,94,7/8/2022,PIEC,32.8,6.3,218,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1111,94,7/8/2022,PITA,32.6,2.6,46,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1109,94,7/8/2022,PITA,22.5,2.5,208,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1113,94,7/8/2022,PITA,41.9,2.3,294,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1105,93,7/8/2022,PIEC,37,7.9,325,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1102,93,7/8/2022,PIEC,27.3,6.8,320,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1097,93,7/8/2022,PIEC,15.5,6.2,2.2,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1100,93,7/8/2022,PIEC,25.3,6,347,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1101,93,7/8/2022,PIEC,26.2,5.2,29,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1103,93,7/8/2022,PIEC,32.5,4.6,45,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1098,93,7/8/2022,PIEC,20.2,4.5,80,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1104,93,7/8/2022,PIEC,32.6,4.2,92,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1099,93,7/8/2022,PIEC,23.5,2.7,108,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1091,92,N/A,PITA,58.7,7.8,217,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1089,92,N/A,PIEC,29.6,7.3,186,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1088,92,N/A,PIEC,12.4,5,251,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1090,92,N/A,PITA,42.6,1.5,312,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,1074,91,7/8/2022,PIEC,30.1,7.9,45,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1076,91,7/8/2022,PIEC,41.1,4.9,344,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1075,91,7/8/2022,PIEC,36.8,2.7,310,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1066,89,7/6/2022,PIPA,47.1,6.9,193,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,1067,89,7/6/2022,PIPA,49,3.8,337,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,1068,89,7/6/2022,PIEC,52.6,3.3,112,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1063,88,7/6/2022,PIEC,38.9,7.3,201,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1064,88,7/6/2022,PIPA,63.2,4.1,325,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,1057,87,7/6/2022,PIPA,36.4,7.1,34,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,1054,87,7/6/2022,PIEC,17.5,6.8,200,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1058,87,7/6/2022,PIEC,38.5,4.6,0,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1056,87,7/6/2022,PIEC,30.4,4,269,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1059,87,7/6/2022,PIPA,45.6,2.7,215,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,1055,87,7/6/2022,PIEC,30.2,2.2,23,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1051,86,7/6/2022,PIEC,33.3,7.1,3,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1046,86,7/6/2022,PIEC,14.5,5.4,48,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1045,86,7/6/2022,PIPA,14.5,5.2,46,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,1050,86,7/6/2022,PIEC,30.3,5.1,357,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1049,86,7/6/2022,PIEC,25,2.5,15,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1047,86,7/6/2022,PIEC,20.3,2.2,351,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1048,86,7/6/2022,PIEC,24.8,1.7,191,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1039,85,7/6/2022,PIEC,31.1,7.9,53,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1040,85,7/6/2022,PIEC,34.7,5,75,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1037,85,7/6/2022,PIEC,29.8,4.8,183,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1041,85,7/6/2022,PIPA,38.5,3.8,138,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,1036,85,7/6/2022,PIEC,18.8,2.9,96,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1038,85,7/6/2022,PIEC,30.3,1.8,121,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1031,84,7/6/2022,PIPA,42.3,5.6,192,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,1030,84,7/6/2022,PIEC,38.7,1.7,41,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1026,83,7/6/2022,PIEC,20.2,7.1,131,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1025,83,7/6/2022,PIEC,17.1,5.3,120,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1028,83,7/6/2022,PIEC,33.5,4.2,98,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1027,83,7/6/2022,PIEC,26.7,3.2,181,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1024,83,7/6/2022,PIEC,17.1,2.6,102,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1013,82,7/6/2022,PIEC,30.4,7,120,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1012,82,7/6/2022,PIEC,28.5,6.5,32,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1015,82,7/6/2022,PIPA,52.3,6.5,172,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,1014,82,7/6/2022,PIEC,33.1,2,285,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,1007,81,7/6/2022,PIPA,54.8,5.1,22,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,1006,81,7/6/2022,PIEC,37.9,3.6,249,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,998,80,7/6/2022,PIPA,38.8,8,3.7,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,1000,80,7/6/2022,PITA,60.8,5.2,222,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,999,80,7/6/2022,PIPA,41.3,4.6,66,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,986,79,7/6/2022,PIEC,46,3.6,,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,983,79,7/6/2022,PIEC,25.8,1.7,,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,984,79,7/6/2022,PIEC,36.4,1.5,,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,982,79,7/6/2022,PIEC,23.3,1.2,,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,985,79,7/6/2022,PIEC,42.7,,,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,978,78,7/6/2022,PITA,49.2,5.3,262,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,970,77,7/6/2022,PIEC,37.4,6,118,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,969,77,7/6/2022,PIEC,36,2.6,7,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,971,77,7/6/2022,PIPA,40.7,1.4,342,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,960,76,7/5/2022,PIEC,13.5,,,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,961,76,7/5/2022,PIEC,35,,,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,962,76,7/5/2022,PIEC,45.6,,,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,948,75,7/5/2022,PIEC,31.5,2.3,324,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,940,74,7/5/2022,PIEC,16.5,4.8,241,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,941,74,7/5/2022,PIEC,19,3.2,187,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,942,74,7/5/2022,PIEC,44.5,3.1,107,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,934,72,7/5/2022,PITA,29.5,7.4,124,Pinus ,taeda,Pinus taeda,loblolly pine,pyrophyte
Talladega,931,72,7/5/2022,PIEC,23.9,7,278,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,930,72,7/5/2022,PIEC,19,6.8,234,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,929,72,7/5/2022,PIEC,13.9,5.9,268,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,933,72,7/5/2022,PIEC,27.3,5.2,56,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,928,72,7/5/2022,PIEC,13,4.8,227,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,935,72,7/5/2022,PIPA,46.8,3.8,135,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,932,72,7/5/2022,PIEC,25,1.7,344,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,919,71,7/5/2022,PIPA,18.5,7.9,136,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,916,71,7/5/2022,PIPA,17,7.8,118,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,910,71,7/5/2022,PIEC,13.7,7.2,278,Pinus ,echinata,Pinus echinata,shortleaf pine,pyrophyte
Talladega,923,71,7/5/2022,PIPA,25.8,7.2,218,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,915,71,7/5/2022,PIPA,16.9,6.5,52,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,921,71,7/5/2022,PIPA,22.2,6.4,5,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,913,71,7/5/2022,PIPA,15.2,6.3,355,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
Talladega,908,71,7/5/2022,PIPA,11,5.6,84,Pinus ,palustris,Pinus palustris,longleaf pine,pyrophyte
