Site,Stem_id,Plot,Date,Species,DBH,Distance,Azimuth,Genus,Specific epithet,Scientific name,Common name,functional_group
MOT,355,31,5/18/2022,QUNI,30.8,7.6,61,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,353,31,5/18/2022,QUNI,11,6,183,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,352,31,5/18/2022,QUNI,11,2,180,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,338,30,5/18/2022,QUNI,23.8,7.5,144,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,336,30,5/18/2022,QUNI,14.6,7,171,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,339,30,5/18/2022,QUNI,32.4,5,3,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,337,30,5/18/2022,QUNI,18,4.8,130,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,334,30,5/18/2022,QUNI,13,4.6,135,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,332,30,5/18/2022,QUNI,10.7,3.6,133,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,335,30,5/18/2022,QUNI,13.2,3.5,270,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,333,30,5/18/2022,QUNI,12.4,3,186,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,316,29,5/18/2022,QUNI,12.7,4.5,64,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,317,29,5/18/2022,QUNI,16.9,3.5,218,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,318,29,5/18/2022,QUNI,19.5,1.5,130,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,298,28,5/18/2022,QUNI,11.6,6.5,330,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,299,28,5/18/2022,QUNI,14.2,6.5,140,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,301,28,5/18/2022,QUNI,22.8,5.8,10,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,302,28,5/18/2022,QUNI,23,2,270,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,283,27,5/19/2022,QUNI,10.3,7.7,86,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,284,27,5/19/2022,QUNI,12.7,7.6,114,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,288,27,5/19/2022,QUNI,29.7,5.7,249,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,286,27,5/19/2022,QUNI,27.5,5.6,44,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,287,27,5/19/2022,QUNI,27.7,2.9,241,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,270,26,5/19/2022,QUNI,13.6,7.9,161,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,271,26,5/19/2022,QUNI,17.4,6.1,348,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,269,26,5/19/2022,QUNI,11.3,4.3,251,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,272,26,5/19/2022,QUNI,24.3,3.4,341,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,255,25,5/19/2022,QUNI,21,7.6,357,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,256,25,5/19/2022,QUNI,23.3,7.2,31,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,254,25,5/19/2022,QUNI,13.4,5.3,5,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,240,24,5/19/2022,QUNI,12.6,7.1,281,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,239,24,5/19/2022,QUNI,11.2,2.1,219,Quercus ,nigra,Quercus nigra,water oak,mesophyte
MOT,241,24,5/19/2022,QUNI,16,2.1,219,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Kreher,209,22,5/19/2022,QUNI,10,8,141,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Kreher,210,22,5/19/2022,QUNI,10.2,7.8,181,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Kreher,190,21,5/19/2022,QUNI,41.9,4.8,284,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Kreher,174,20,5/19/2022,QUNI,13,4.1,321,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Kreher,158,19,5/19/2022,QUNI,76,7.1,320,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,140,17,6/6/2022,QUNI,8.3,7.33,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,143,17,6/6/2022,QUNI,23.9,6.66,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,144,17,6/6/2022,QUNI,25,4.69,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,142,17,6/6/2022,QUNI,17,2.14,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,141,17,6/6/2022,QUNI,12,2.13,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,122,9,6/6/2022,QUNI,20.3,5.1,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,96,7.2,6/6/2022,QUNI,12.5,6.6,238,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,97,7.2,6/6/2022,QUNI,33.8,3.6,288,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,83,6,6/6/2022,QUNI,30.4,6.7,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,82,6,6/6/2022,QUNI,28.4,5.6,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,81,6,6/6/2022,QUNI,25,3.5,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,64,3.2,6/6/2022,QUNI,14.8,7.8,191,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,65,3.2,6/6/2022,QUNI,15.2,7.8,341,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,63,3.2,6/6/2022,QUNI,14.3,4.8,168,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,51,3,6/6/2022,QUNI,22.8,8,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,47,3,6/6/2022,QUNI,11,7,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,50,3,6/6/2022,QUNI,22.7,7,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,52,3,6/6/2022,QUNI,23.1,7,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,53,3,6/6/2022,QUNI,25.6,5.4,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
