collection,Plot,Treatment,Burn_Szn,canopy_trt,Total_wt,Pine_wt,UO_wt,SG_wt,WO_wt,MESO_wt,Total_m,Load_gm2
6/24/2022,2,control,Control,med,,5.27,11.97,0,4.49,2.4,24.13,268.0843
6/24/2022,8,control,ED,med,,5.18,1.58,0.71,9.48,0.91,17.86,198.4246
6/24/2022,1,control,LD,high,,4.92,2.99,0.72,2.27,1.8,12.7,141.097
6/24/2022,8,thin,ED,med,,4.73,3.6,0.21,12.38,0.82,21.74,241.5314
6/24/2022,3,thin,Control,high,,4.42,1.18,0,10.79,0.6,16.99,188.7589
6/24/2022,9,control,ED,high,,4.29,3.85,0,1.74,0.48,10.36,115.0996
6/24/2022,5,control,Control,low,,4.25,9.25,1,5.63,0.84,20.97,232.9767
6/24/2022,11,control,Control,low,,4.04,2.37,1.45,2.79,0.12,10.77,119.6547
6/24/2022,11,control,GS,low,,3.98,2.49,1.22,3.01,1.26,11.96,132.8756
6/24/2022,12,control,ED,high,,3.9,0.57,0,2.19,1.01,7.67,85.2137
6/24/2022,11,thin,ED,low,,3.76,20.37,0.53,0.18,0.92,25.76,286.1936
6/24/2022,4,thin,ED,low,,3.73,14.39,0.64,0.69,4.73,24.18,268.6398
6/24/2022,4,control,LD,low,,3.01,13.52,0.28,0.92,5.37,23.1,256.641
6/24/2022,4,control,GS,low,,2.93,11.6,0,1.32,3.92,19.77,219.6447
6/24/2022,1,control,ED,high,,2.52,0.97,0,3.71,0.34,7.54,83.7694
6/24/2022,1,control,Control,high,,1.91,1.28,1.34,3.94,3.39,11.86,131.7646
6/24/2022,4,control,Control,low,,1.79,11.16,0.37,0.92,3.81,18.05,200.5355
