Plot,Treatment,Burn_Szn,canopy_trt,litter_type,percent,frs1_cms,frs2_cms,avg_fh,consump,avg_max_temp,fuel_moist,meso_os
10,thin,ED,med,sg,1.802418435,0.961538462,0.550964187,21.57894737,98,409.7777778,9.216589862,
11,control,ED,low,sg,13.75429822,0.921658986,0.477326969,25,98,349.6666667,9.261744966,
11,thin,ED,low,sg,16.48308419,0.641025641,0.746268657,20,95,295.1111111,7.380073801,
12,control,ED,high,sg,2.816483842,1.129943503,0.245700246,18.21428571,93,275.5555556,16.95906433,
12,thin,ED,high,sg,0,1.01010101,0.418410042,16.66666667,98,380.5555556,8.705882353,
1,control,LD,high,sg,21.72364672,0,0,5,10,21,18.19505095,
1,thin,LD,high,sg,1.216814159,0.24691358,0.353982301,10.83333333,90,253.7777778,19.05274489,
2,control,LD,med,sg,0,1.020408163,0.435729847,16.66666667,96,386.5555556,13.00813008,
2,thin,LD,med,sg,1.989201478,0.36036036,0.561797753,13.33333333,93,354,14.61897356,
3,control,LD,high,sg,1.976861732,0.975609756,0.377358491,19.16666667,95,497.6666667,11.26436782,
3,thin,LD,high,sg,6.634382567,0,0,5.833333333,10,22,19.09547739,
4,control,LD,low,sg,3.384418902,0.584795322,0.566572238,16,98,345,10.63189569,
4,thin,LD,low,sg,0,0.757575758,0.465116279,9,80,256.7777778,10.85141903,
5,control,LD,low,sg,4.325554923,1.398601399,2.06185567,22.5,99,443.6666667,7.903225806,
5,thin,LD,low,sg,0,3.225806452,1.351351351,30,99,497.6666667,9.485530547,
6,control,LD,low,sg,4.164427727,1.111111111,0.615384615,19.28571429,98,473,10.2189781,
6,thin,LD,low,sg,0,0.727272727,0.862068966,20,96,473,6.753812636,
7,control,LD,med,sg,4.901225306,0.445434298,0.437636761,18.33333333,90,363.4444444,9.498680739,
7,thin,LD,med,sg,5.780599956,0.420168067,1.526717557,21.25,100,497.6666667,7.974683544,
8,control,LD,med,sg,0,0.787401575,0.732600733,19.44444444,95,497.6666667,7.482993197,
8,thin,LD,med,sg,0,0.571428571,0.512820513,18.75,95,497.6666667,8.058608059,
9,control,LD,high,sg,3.197674419,1.904761905,0.476190476,33.57142857,98,497.6666667,20.92457421,
9,thin,LD,high,sg,3.428786737,1.234567901,1.069518717,24.44444444,95,462.1111111,25.64612326,
10,control,LD,med,sg,3.413173653,1.176470588,0.952380952,26,95,497.6666667,10.03039514,
10,thin,LD,med,sg,0,3.636363636,0.930232558,26.42857143,100,485.3333333,8.305921053,
