collection,Plot,Treatment,Burn_Szn,canopy_trt,litter_type,litter_pct
6/24/2022,4,thin,ED,low,pine,15.42597188
6/24/2022,4,thin,GS,low,pine,44.49877751
6/24/2022,4,thin,LD,low,pine,24.1773309
6/24/2022,5,control,Control,low,pine,20.26704816
6/24/2022,5,control,ED,low,pine,33.89178175
6/24/2022,5,control,GS,low,pine,39.25473819
6/24/2022,5,control,LD,low,pine,29.48354143
6/24/2022,5,thin,Control,low,pine,63.98791541
6/24/2022,5,thin,ED,low,pine,29.96254682
6/24/2022,5,thin,GS,low,pine,37.08496094
6/24/2022,5,thin,LD,low,pine,62.00891909
6/24/2022,6,control,Control,low,pine,34.99777084
6/24/2022,6,control,ED,low,pine,49.31391767
6/24/2022,6,control,GS,low,pine,29.94049483
6/24/2022,6,control,LD,low,pine,39.47293851
6/24/2022,6,thin,Control,low,pine,46.47683398
6/24/2022,6,thin,ED,low,pine,68.57881137
6/24/2022,6,thin,GS,low,pine,71.79289026
6/24/2022,6,thin,LD,low,pine,80.92377796
6/24/2022,7,control,Control,med,pine,67.33365477
6/24/2022,7,control,ED,med,pine,50.08586148
6/24/2022,7,control,GS,med,pine,53.03332384
6/24/2022,7,control,LD,med,pine,66.03159851
6/24/2022,7,thin,Control,med,pine,59.59922431
6/24/2022,7,thin,ED,med,pine,93.32844575
6/24/2022,7,thin,GS,med,pine,90.24301777
6/24/2022,7,thin,LD,med,pine,92.22703442
6/24/2022,8,control,Control,med,pine,50.21459227
6/24/2022,8,control,ED,med,pine,29.00335946
6/24/2022,8,control,GS,med,pine,68.93491124
6/24/2022,8,control,LD,med,pine,76.60175879
6/24/2022,8,thin,Control,med,pine,55.51219512
6/24/2022,8,thin,ED,med,pine,21.75712971
6/24/2022,8,thin,GS,med,pine,44.79762662
6/24/2022,8,thin,LD,med,pine,80.17769003
6/24/2022,9,control,Control,high,pine,75.51020408
6/24/2022,9,control,ED,high,pine,41.40926641
6/24/2022,9,control,GS,high,pine,79.3442623
6/24/2022,9,control,LD,high,pine,71.48450245
6/24/2022,9,thin,Control,high,pine,77.18160377
6/24/2022,9,thin,ED,high,pine,67.30496454
6/24/2022,9,thin,GS,high,pine,73.75362701
6/24/2022,9,thin,LD,high,pine,81.92488263
6/24/2022,10,control,Control,med,pine,73.95964691
6/24/2022,10,control,ED,med,pine,56.47604328
6/24/2022,10,control,GS,med,pine,56.38432364
6/24/2022,10,control,LD,med,pine,76.61053194
6/24/2022,10,thin,Control,med,pine,86.50678295
6/24/2022,10,thin,ED,med,pine,92.85014691
6/24/2022,10,thin,GS,med,pine,92.98170075
6/24/2022,10,thin,LD,med,pine,90.87845969
6/24/2022,11,control,Control,low,pine,37.51160631
6/24/2022,11,control,ED,low,pine,43.07568438
6/24/2022,11,control,GS,low,pine,33.27759197
6/24/2022,11,control,LD,low,pine,26.27737226
6/24/2022,11,thin,Control,low,pine,68.86715566
6/24/2022,11,thin,ED,low,pine,14.59627329
6/24/2022,11,thin,GS,low,pine,23.27288428
6/24/2022,11,thin,LD,low,pine,46.24373957
6/24/2022,12,control,Control,high,pine,60.54172767
6/24/2022,12,control,ED,high,pine,50.84745763
6/24/2022,12,control,GS,high,pine,53.73895309
6/24/2022,12,control,LD,high,pine,28.1861679
6/24/2022,12,thin,Control,high,pine,75.16993203
6/24/2022,12,thin,ED,high,pine,62.91985367
6/24/2022,12,thin,GS,high,pine,43.55555556
6/24/2022,12,thin,LD,high,pine,39.99160722
6/24/2021,1,control,Control,high,uo,5.063291139
6/24/2021,1,control,ED,high,uo,1.122754491
6/24/2021,1,control,GS,high,uo,2.824317855
6/24/2021,1,control,LD,high,uo,1.247771836
6/24/2021,1,thin,Control,high,uo,0
6/24/2021,1,thin,ED,high,uo,5.718370264
6/24/2021,1,thin,GS,high,uo,8.749405611
6/24/2021,1,thin,LD,high,uo,4.977613906
6/24/2021,2,control,Control,med,uo,51.02606767
6/24/2021,2,control,ED,med,uo,0
6/24/2021,2,control,GS,med,uo,42.14325375
6/24/2021,2,control,LD,med,uo,2.203324314
6/24/2021,2,thin,Control,med,uo,1.752628943
6/24/2021,2,thin,ED,med,uo,9.735307313
6/24/2021,2,thin,GS,med,uo,2.748177229
6/24/2021,2,thin,LD,med,uo,10.64162754
6/24/2021,3,control,Control,high,uo,3.018307768
6/24/2021,3,control,ED,high,uo,0.533333333
6/24/2021,3,control,GS,high,uo,8.011653314
6/24/2021,3,control,LD,high,uo,6.844336766
6/24/2021,3,thin,Control,high,uo,0.545454545
6/24/2021,3,thin,ED,high,uo,5.405405405
6/24/2021,3,thin,GS,high,uo,2.162162162
6/24/2021,3,thin,LD,high,uo,3.107520199
6/24/2021,4,control,Control,low,uo,65.63430613
6/24/2021,4,control,ED,low,uo,51.67095116
6/24/2021,4,control,GS,low,uo,44.32576769
6/24/2021,4,control,LD,low,uo,31.80952381
6/24/2021,4,thin,Control,low,uo,23.33860759
6/24/2021,4,thin,ED,low,uo,13.77358491
6/24/2021,4,thin,GS,low,uo,17.54512635
6/24/2021,4,thin,LD,low,uo,36.79458239
6/24/2021,5,control,Control,low,uo,12.3465704
6/24/2021,5,control,ED,low,uo,41.00928074
6/24/2021,5,control,GS,low,uo,39.05723906
6/24/2021,5,control,LD,low,uo,21.22844828
6/24/2021,5,thin,Control,low,uo,16.56122069
6/24/2021,5,thin,ED,low,uo,59.60082588
6/24/2021,5,thin,GS,low,uo,63.24143693
6/24/2021,5,thin,LD,low,uo,10.86861632
6/24/2021,6,control,Control,low,uo,72.51908397
6/24/2021,6,control,ED,low,uo,4.945277665
6/24/2021,6,control,GS,low,uo,62.36917222
6/24/2021,6,control,LD,low,uo,7.850133809
6/24/2021,6,thin,Control,low,uo,2.373723434
6/24/2021,6,thin,ED,low,uo,5.835069961
6/24/2021,6,thin,GS,low,uo,1.128472222
6/24/2021,6,thin,LD,low,uo,2.011622709
6/24/2021,7,control,Control,med,uo,0.799623706
6/24/2021,7,control,ED,med,uo,1.510333863
6/24/2021,7,control,GS,med,uo,0.516898608
6/24/2021,7,control,LD,med,uo,5.525606469
6/24/2021,7,thin,Control,med,uo,0
6/24/2021,7,thin,ED,med,uo,0
6/24/2021,7,thin,GS,med,uo,0
6/24/2021,7,thin,LD,med,uo,0
6/24/2021,8,control,Control,med,uo,2.923976608
6/24/2021,8,control,ED,med,uo,11.76470588
6/24/2021,8,control,GS,med,uo,17.59594497
6/24/2021,8,control,LD,med,uo,5.406824147
6/24/2021,8,thin,Control,med,uo,0
6/24/2021,8,thin,ED,med,uo,0
6/24/2021,8,thin,GS,med,uo,0.651890482
6/24/2021,8,thin,LD,med,uo,0
6/24/2021,9,control,Control,high,uo,2.350698856
6/24/2021,9,control,ED,high,uo,4.308943089
6/24/2021,9,control,GS,high,uo,1.03871577
6/24/2021,9,control,LD,high,uo,8.835341365
6/24/2021,9,thin,Control,high,uo,0.977198697
6/24/2021,9,thin,ED,high,uo,0.429368828
6/24/2021,9,thin,GS,high,uo,3.888888889
6/24/2021,9,thin,LD,high,uo,10.51579368
6/24/2021,10,control,Control,med,uo,12.01133144
6/24/2021,10,control,ED,med,uo,0.351405622
6/24/2021,10,control,GS,med,uo,3.790087464
6/24/2021,10,control,LD,med,uo,16.24203822
6/24/2021,10,thin,Control,med,uo,9.340044743
6/24/2021,10,thin,ED,med,uo,6.585858586
6/24/2021,10,thin,GS,med,uo,12.05335874
6/24/2021,10,thin,LD,med,uo,8.067940552
6/24/2021,11,control,Control,low,uo,44.27531436
6/24/2021,11,control,ED,low,uo,30.59045226
6/24/2021,11,control,GS,low,uo,19.50394589
6/24/2021,11,control,LD,low,uo,56.19596542
6/24/2021,11,thin,Control,low,uo,19.75175391
6/24/2021,11,thin,ED,low,uo,54.18006431
6/24/2021,11,thin,GS,low,uo,29.15601023
6/24/2021,11,thin,LD,low,uo,25.47746371
6/24/2021,12,control,Control,high,uo,11.36235161
6/24/2021,12,control,ED,high,uo,22.29845626
6/24/2021,12,control,GS,high,uo,12.24256293
6/24/2021,12,control,LD,high,uo,4.95387769
6/24/2021,12,thin,Control,high,uo,0
6/24/2021,12,thin,ED,high,uo,2.745576571
6/24/2021,12,thin,GS,high,uo,58.33849969
6/24/2021,12,thin,LD,high,uo,37.05228489
