Plot,Treatment,Burn_Szn,canopy_trt,pine,uo,meso,frs1_cms,frs2_cms,avg_fh,consump,avg_max_temp,fuel_moist,meso_os
6,Control,ED,low,45.21531100478469,11.893369788106629,42.89131920710868,1.834862385,0.280504909,23.52941176,100,382,7.441471572,low
6,Control,GS,low,29.940494832445978,58.78484184152835,11.274663326025681,0.264550265,0,5,10,73.64444444,11.84573003,low
6,Control,LD,low,38.01719505642128,40.78452444922085,21.198280494357874,1.111111111,0.615384615,19.28571429,98,473,10.2189781,low
6,Thin,ED,low,68.86505098662428,13.216792477817506,17.9181565355582,0.564971751,0.534759358,25.76923077,100,358.7777778,12.04379562,low
6,Thin,GS,low,71.79289026275116,15.340030911901085,12.86707882534776,0.4,0.183654729,13.57142857,80,216.8555556,12.20930233,low
6,Thin,LD,low,83.60530341662418,7.317695053544111,9.077001529831717,0.727272727,0.862068966,20,96,473,6.753812636,low
7,Control,ED,med,27.321124361158432,0.2555366269165247,72.42333901192505,0.404040404,0.34965035,13.42105263,85,270.4444444,11.45320197,med
7,Control,GS,med,53.03332383936201,6.0096838507547705,40.956992309883226,0.098684211,0,5,10,25.7,13.65652725,med
7,Control,LD,med,55.81395348837209,2.3755938984746185,41.81045261315329,0.445434298,0.437636761,18.33333333,90,363.4444444,9.498680739,med
7,Thin,ED,med,79.39834024896267,0.6431535269709543,19.95850622406639,1.015228426,0.896860987,28.33333333,100,375.8888889,11.9831815,med
7,Thin,GS,med,90.2430177729416,0,9.756982227058398,0.769230769,0.533333333,23,97,315.8444444,10.48573631,med
7,Thin,LD,med,86.59951828333698,0.5255090869279614,12.874972629735057,0.420168067,1.526717557,21.25,100,497.6666667,7.974683544,med
8,Control,ED,med,17.30892742453436,35.77392421323057,46.91714836223507,0,0,11.25,15,52.88888889,10.86036671,med
8,Control,GS,med,68.93491124260356,10.710059171597635,20.355029585798817,0.080482897,0,6.285714286,10,24.8,13.66071429,med
8,Control,LD,med,59.41549489936586,5.789909015715467,34.79459608491866,0.787401575,0.732600733,19.44444444,95,497.6666667,7.482993197,med
8,Thin,ED,med,24.783147459727385,11.338289962825279,63.87856257744733,0,0,10,10,35.88888889,9.076433121,med
8,Thin,GS,med,44.79762661580844,2.627675354948082,52.57469802924349,0.231362468,0,8.888888889,5,82.82222222,17.4386921,med
8,Thin,LD,med,77.32599856493661,5.261899067208802,17.41210236785458,0.571428571,0.512820513,18.75,95,497.6666667,8.058608059,med
9,Control,ED,high,56.90721649484536,3.2073310423825885,39.88545246277205,0.689655172,0.449438202,17.63157895,95,371.2222222,10.06944444,high
9,Control,GS,high,79.34426229508196,0.8524590163934427,19.803278688524593,0.36036036,0.727272727,18.75,100,365.2222222,10.88621444,high
9,Control,LD,high,69.76744186046511,4.83615221987315,25.396405919661728,1.904761905,0.476190476,33.57142857,98,497.6666667,20.92457421,high
9,Thin,ED,high,63.30777656078861,3.760496531580869,32.93172690763052,2.941176471,0.555555556,24,100,394.3333333,7.793522267,high
9,Thin,GS,high,73.75362701134266,2.848852545502506,23.397520443154843,0.609756098,0.660066007,19.28571429,100,375.8888889,6.215469613,high
9,Thin,LD,high,75.92313489073096,0.45214770158251694,23.62471740768651,1.234567901,1.069518717,24.44444444,95,462.1111111,25.64612326,high
10,Control,ED,med,46.763335059554635,0.5178663904712585,52.71879854997412,1.020408163,1.03626943,18.92857143,97,385.1111111,13.03258145,med
10,Control,GS,med,56.38432364096081,9.987357774968395,33.62831858407079,0.282885431,0,10.625,35,68.33333333,16.83899557,med
10,Control,LD,med,71.82634730538922,5.209580838323354,22.964071856287426,1.176470588,0.952380952,26,95,497.6666667,10.03039514,med
10,Thin,ED,med,96.9883641341547,0.296600501939311,2.7150353639060008,0.961538462,0.550964187,21.57894737,98,409.7777778,9.216589862,med
10,Thin,GS,med,92.98170075349837,1.0764262648008611,5.941872981700753,0.588235294,0.389863548,18,100,383.6666667,9.152086137,med
10,Thin,LD,med,90.16942062330055,4.141393014013804,5.68918636268563,3.636363636,0.930232558,26.42857143,100,485.3333333,8.305921053,med
11,Control,ED,low,35.010940919037196,16.974054391997498,48.015004688965305,0.921658986,0.477326969,25,98,349.6666667,9.261744966,low
11,Control,GS,low,33.27759197324415,20.819397993311036,45.90301003344481,0.092807425,0,5,5,24.7,10.92184369,low
11,Control,LD,low,33.05891432981734,19.80962181631078,47.13146385387188,0.869565217,0.308641975,14.28571429,95,473,10.0099108,low
11,Thin,ED,low,37.33280881195908,43.54838709677419,19.11880409126672,0.641025641,0.746268657,20,95,295.1111111,7.380073801,low
11,Thin,GS,low,23.272884283246974,65.41450777202073,11.312607944732296,0.414937759,0.431965443,10.625,92,320.3333333,7.591623037,low
11,Thin,LD,low,65.41643684500828,25.97904026475455,8.604522890237176,0.498753117,0.704225352,10.55555556,95,463.7777778,7.524271845,low
12,Control,ED,high,39.57900978357545,37.207233916394905,23.21375630002965,1.129943503,0.245700246,18.21428571,93,275.5555556,16.95906433,high
12,Control,GS,high,53.73895309313392,29.775662814411962,16.48538409245411,0.161527166,0,7.142857143,20,28.6,16.37583893,high
12,Control,LD,high,25.682593856655288,39.07849829351536,35.238907849829346,0.643086817,0.479616307,16.66666667,97,497.6666667,11.85185185,high
12,Thin,ED,high,61.95085629188385,15.56217423678332,22.486969471332838,1.01010101,0.418410042,16.66666667,98,380.5555556,8.705882353,high
12,Thin,GS,high,43.55555555555556,12.62222222222222,43.82222222222222,0.234042553,0,10,7,25.6,11.6089613,high
12,Thin,LD,high,40.43360433604336,1.5176151761517618,58.04878048780489,0.775193798,0.586510264,8.5,85,358.7777778,11.07142857,high
