Site,Plot,Little_type,Pct_wt,Load_wt,BA_m2ha,BA_ft2a,Pine_m2ha,Pine_ft2a,Pine_pctBAft2a
CR,107,Upland oak,10.41784836,91.82415,34.59034771,150.6710973,30.69569639,133.7064981,88.74064137
Kreher,19,Upland oak,13.20003882,75.548,67.60785994,294.491126,27.78474167,121.0267544,41.09691047
Kreher,20,Upland oak,0.784820187,4.38845,58.52973351,254.9479771,40.48224118,176.335426,69.16525795
Kreher,21,Upland oak,0.923564078,5.83275,47.37855861,206.3748961,29.04406582,126.5122081,61.30213049
Kreher,22,Upland oak,0.423792947,3.1108,39.68346076,172.8560415,15.59032748,67.90945756,39.28671337
Kreher,23,Upland oak,19.65236894,77.8811,51.2384314,223.1880046,23.27478994,101.3819858,45.42447789
MOT,24,Upland oak,0.414644013,2.27755,47.33236839,206.1736975,30.28984343,131.9386549,63.99393157
MOT,25,Upland oak,0.401808137,2.6664,42.44439429,184.8823121,33.15220138,144.4067172,78.10737304
MOT,26,Upland oak,0,0,30.13563018,131.2669218,17.52837628,76.35134838,58.16495682
MOT,27,Upland oak,1.24506529,4.5551,30.93817568,134.7627066,9.820624633,42.77737542,31.74273989
MOT,28,Upland oak,6.445475991,47.05085,48.50121404,211.2650385,29.70776893,129.4032133,61.25159857
MOT,29,Upland oak,40.59889998,332.13345,29.1478968,126.9644825,10.76911573,46.90888041,36.94645895
MOT,30,Upland oak,17.82118888,82.60285,41.62546872,181.3151779,17.26617881,75.20924999,41.47984237
MOT,31,Upland oak,2.727661394,17.72045,41.1254498,179.1371599,31.27330713,136.222496,76.04368411
MOT,32,Upland oak,33.19746377,122.15445,25.50306087,111.0880468,4.20653239,18.32311304,16.49422559
MOT,33,Upland oak,24.79965655,96.26815,34.88619806,151.9597833,16.88978668,73.56973436,48.41395056
MOT,52,Upland oak,54.93253899,174.14925,26.66546317,116.1513215,9.34816459,40.71940035,35.05719937
MOT,53,Upland oak,56.22864244,301.6365,31.79851719,138.5102433,16.75699948,72.99133043,52.69742417
MOT,54,Upland oak,0.2478973,1.5554,38.75845293,168.8268266,25.435988,110.795886,65.62694344
MOT,55,Upland oak,22.09865101,119.2103,51.18172223,222.9409868,22.86202786,99.58404735,44.6683442
MOT,56,Upland oak,41.68124053,198.59125,28.45512101,123.9468404,13.58629265,59.18014005,47.74638858
