Site,Plot,group,Avg_CC,Avg_Shrub_Live,Avg_Shrub_Dead,Avg_Shrub_Ht,Avg_Herb_Live,Avg_Herb_Dead,Avg_Herb_Ht,Avg_Cones_m2,Avg_Acorns_m2,Avg_Balls_m2,Aspect,Slope,Avg_Depth_cm,Avg_Duff_cm,FWD_Mgha,CWD_Mgha,Pine_Seedlings100m2,UO_Seedlings100m2,Meso_Seedlings100m2,Pine_Saplings100m2,UO_Saplings100m2,Meso_Saplings100m2,Pine_litter_pct,UO_litter_pct,SG_litter_pct,WO_litter_pct,Meso_litter_pct,"Other_litter_pct_(summed SG, WO, Meso)",Avg_Pine_load_gm2,Avg_UO_load_gm2,Avg_SG_load_gm2,Avg_WO_load_gm2,Avg_Meso_load_gm2,"Other_litter_pct_(summed SG, WO, Meso)_gm2",Avg_Total_load,BA_m2ha,BA_ft2a,PineBA_m2ha,PineBA_ft2a,Pine_pctBAft2a,Pine_iv,UO_iv,Meso_iv
MOT,27,30 - 70% Pine,96.53333333,5,0,6.666666667,8.333333333,0,6.666666667,3,0,0,S,1.7,2.25,0.25,4.078999827,0,4867.256637,0,88.49557522,0,0,27.77777778,32.62982083,1.24506529,9.003947768,43.09140601,14.0297601,66.12511388,119.37695,4.5551,32.94115,157.6509,51.3282,241.92025,365.8523,30.93817568,134.7627066,9.820624633,42.77737542,31.74273989,71.32607322,42.22114901,186.4527778
MOT,28,30 - 70% Pine,88.56,10,0,13.33333333,5,0,8.333333333,2.666666667,0,0,E,5,3.25,0,10.86518845,2.218984863,0,0,88.49557522,27.77777778,0,55.55555556,67.66608325,6.445475991,2.739517541,15.9500799,7.198843315,25.88844076,493.9506,47.05085,19.998,116.4328,52.5503,188.9811,729.98255,48.50121404,211.2650385,29.70776893,129.4032133,61.25159859,150.1404875,42.97647966,106.8830329
MOT,29,30 - 70% Pine,89.6,5.666666667,0,23.33333333,0,0,0,0.666666667,0,0,E,6,4.25,0.275,4.08018727,1.398422752,0,88.49557522,176.9911504,27.77777778,27.77777778,27.77777778,34.98336389,40.59889998,4.332178991,17.70896992,2.376587221,24.41773613,286.1936,332.13345,35.4409,144.8744,19.4425,199.7578,818.08485,29.1478968,126.9644825,10.76911573,46.90888041,36.94645896,103.6131256,97.48611292,98.90076145
MOT,30,30 - 70% Pine,93.06666667,9,0,58.33333333,0,0,0,5,0,0,E,6.2,3.25,0,2.50235884,3.35159172,0,0,884.9557522,0,0,166.6666667,28.47555129,17.82118888,1.342281879,38.77037392,13.59060403,53.70325983,131.9868,82.60285,6.2216,179.70425,62.9937,248.91955,463.5092,41.62546872,181.3151779,17.26617881,75.20924999,41.47984237,94.8131757,57.44898815,147.7378361
MOT,31,>70% Pine,96.18666667,8.333333333,0,53.33333333,5,0,6.666666667,5.333333333,0.666666667,0,E,2.7,3.5,0.375,1.143483859,33.50050759,0,0,265.4867257,0,0,83.33333333,76.60538692,2.727661394,2.471141513,13.62975631,4.566053869,20.66695169,497.67245,17.72045,16.05395,88.5467,29.6637,134.26435,649.65725,41.1254498,179.1371599,31.27330713,136.222496,76.0436841,173.1025076,0,126.8974924
MOT,32,< 30% Pine,95.84,0,0,0,8.333333333,0,6.666666667,0,0.666666667,0,S,1.1,4,0.875,5.912623889,1.872268478,0,0,353.9823009,0,0,0,10.61292271,33.19746377,2.838164251,38.55676329,14.79468599,56.18961353,39.05165,122.15445,10.4434,141.8747,54.439,206.7571,367.9632,25.50306087,111.0880468,4.20653239,18.32311304,16.49422558,56.72411064,102.2436602,141.0322292
MOT,33,30 - 70% Pine,94.10666667,15,0,53.33333333,5,0,3.333333333,3.333333333,0,0,SE,4.8,3.25,0.5,4.093249141,3.875518702,0,0,0,0,0,194.4444444,32.74184316,24.79965655,9.70234688,16.57126503,16.18488838,42.45850029,127.0984,96.26815,37.6629,64.3269,62.82705,164.81685,388.1834,34.88619806,151.9597833,16.88978668,73.56973436,48.41395056,100.4972839,57.15946343,142.3432527
Tuskegee,34,30 - 70% Pine,86.13333333,13.33333333,0,70,20,0,23.33333333,2.666666667,0,0,N,0.8,2.25,0,4.093249141,2.958646484,0,0,1061.946903,0,0,111.1111111,45.62923138,8.243727599,8.841099164,7.377538829,29.90840303,46.12704102,254.58565,45.9954,49.3284,41.16255,166.8722,257.36315,557.9442,43.36295877,188.8834607,30.62016178,133.377479,70.61363581,153.9469692,0,146.0530308
Tuskegee,35,30 - 70% Pine,88.56,11.66666667,0,33.33333333,5,0,10,0.666666667,0,0.333333333,W,6.2,2.75,0,2.276280733,9.245770263,0,88.49557522,619.4690265,0,0,0,37.59898905,14.32181971,15.1727043,5.307497894,27.59898905,48.07919124,247.91965,94.435,100.04555,34.9965,181.9818,317.02385,659.3785,36.30955574,158.159746,24.90546024,108.4849755,68.59202689,161.4491697,0,138.5508303
Tuskegee,36,30 - 70% Pine,84.05333333,3.666666667,0,76.66666667,50,0,23.33333333,0.333333333,0,0.333333333,N/A,0,1.5,0.375,1.822905622,23.36868434,0,0,88.49557522,0,0,0,47.12764362,0,12.19439028,38.0980951,2.579871006,52.87235638,174.5381,0,45.16215,141.097,9.5546,195.81375,370.35185,60.82954107,264.9656424,18.67614521,81.35088196,30.70242663,100.7024266,0,199.2975734
Tuskegee,37,30 - 70% Pine,88.90666667,15,0,93.33333333,46.66666667,0,30,1,0,0,N/A,0,2.75,0.375,2.044265412,8.887496666,0,0,353.9823009,0,0,83.33333333,70.21160161,0.519883254,18.46041591,1.805910252,9.002188982,29.26851514,427.6239,3.16635,112.4332,10.9989,54.82785,178.25995,609.0502,38.45759541,167.51633,23.81071303,103.7163977,61.91420128,151.9142013,0,148.0857987
Tuskegee,38,30 - 70% Pine,93.76,10,0,63.33333333,36.66666667,0,30,1,0,0,N/A,0,2.25,0.375,1.600389844,6.36031946,0,0,88.49557522,0,0,27.77777778,36.29293584,0.220349968,12.35255995,20.85547634,30.2786779,63.48671419,155.54,0.94435,52.93915,89.37995,129.7648,272.0839,428.56825,40.150836,174.8918678,14.58559299,63.53296359,36.32699701,98.82699702,0,201.173003
Tuskegee,39,30 - 70% Pine,89.6,3.333333333,0,16.66666667,63.33333333,0,33.33333333,0.333333333,0,0,N/A,0,2,0.25,3.175874843,0,0,0,0,0,0,0,72.30936293,0,10.09893822,12.08976834,5.501930502,27.69063707,332.91115,0,46.49535,55.6611,25.3308,127.48725,460.3984,35.86174343,156.2091332,24.53601605,106.8757242,68.41835812,157.307247,0,142.692753
Tuskegee,40,30 - 70% Pine,80.24,20.33333333,0,65,5.333333333,0,13.33333333,3.333333333,0,0,NE,1.2,2.5,0.625,2.965202038,3.944861979,0,0,2123.893805,0,0,0,71.94651891,0,12.45483016,10.82871597,4.769934955,28.05348109,331.80015,0,57.4387,49.93945,21.9978,129.37595,461.1761,48.89930393,212.9990668,34.78578283,151.5223875,71.13758281,146.1375828,0,153.8624172
