Site,Plot,Avg_CC,Avg_Woody_Live,Avg_Woody_Ht,Avg_Herb_Live,Avg_Herb_Ht,Avg_Cones,Avg_Acorns,Avg_Balls,Slope,Avg_Depth_cm,Avg_Duff_cm,FWD_Mgha,CWD_Mgha,Pine_pct,UO_pct,Meso_all_pct,Avg_Pine_load,Avg_UO_load,Meso_all_load,Avg_Total_load
MOT,25,1.97040887,1.06694679,1.301029996,1.124938736,0.823908741,0.726998728,0,0,0.431363764,0.397940009,-0.602059991,0.531875852,0,1.893170862,-0.395981273,1.330508218,2.715077435,0.425925301,2.734770719,2.821906574
MOT,26,1.979973053,0.920818754,1.124938736,1.22184875,1.22184875,0,0,0,0.579783597,0.352182518,-0.602059991,0.436291776,0,1.821977234,0,1.526716178,2.582272502,0,2.618898243,2.760295268
MOT,27,1.984677303,0.698970004,0.823908741,0.920818754,0.823908741,0.477121255,0,0,0.230448921,0.352182518,-0.602059991,0.610553687,0,1.513614689,0.095192126,1.820366433,2.076920479,0.658497916,2.278884244,2.56330579
MOT,28,1.947237608,1,1.124938736,0.698970004,0.920818754,0.425968732,0,0,0.698970004,0.511883361,0,1.036037263,0.34615434,1.830371039,0.809254995,1.413105894,2.693683517,1.672567474,2.753498712,2.863312479
MOT,29,1.95230801,0.753327667,1.367976785,0,0,-0.176091259,0,0,0.77815125,0.62838893,-0.560667306,0.610680097,0.145638481,1.543861568,1.608514267,1.387705396,2.456659918,2.521312617,2.808038562,2.91279835
MOT,30,1.968794159,0.954242509,1.765916794,0,0,0.698970004,0,0,0.792391689,0.511883361,0,0.398349588,0.525251109,1.454472141,1.250936673,1.730000649,2.1205305,1.916995032,2.428609196,2.666058359
MOT,31,1.983114875,0.920818754,1.726998728,0.698970004,0.823908741,0.726998728,-0.176091259,0,0.431363764,0.544068044,-0.425968732,0.058230039,1.525051387,1.88425931,0.435790457,1.315276424,2.6969436,1.248474746,2.729213282,2.812684289
MOT,32,1.981546805,0,0,0.920818754,0.823908741,0,-0.176091259,0,0.041392685,0.602059991,-0.057991947,0.771780254,0.272368125,1.025835001,1.521104906,1.749656045,1.591639388,2.086909293,2.337250977,2.565804387
MOT,33,1.973620391,1.176091259,1.726998728,0.698970004,0.522878745,0.522878745,0,0,0.681241237,0.511883361,-0.301029996,0.612068179,0.588329837,1.515103124,1.394445666,1.62796465,2.104140083,1.983482626,2.424595905,2.58903696
Tuskegee,34,1.935171255,1.124938736,1.84509804,1.301029996,1.367976785,0.425968732,0,0,-0.096910013,0.352182518,0,0.612068179,0.471093076,1.659243153,0.916123633,1.663955596,2.405833921,1.6627144,2.539963977,2.746590767
Tuskegee,35,1.947237608,1.06694679,1.522878745,0.698970004,1,-0.176091259,0,-0.477121255,0.792391689,0.439332694,0,0.357225822,0.965943098,1.575176168,1.155998202,1.681957154,2.39431095,1.975132985,2.591547454,2.819134782
