Site,Plot,group,Little_type,Pct_wt,Load_wt,BA_m2ha,BA_ft2a,Pine_m2ha,Pine_ft2a,Pine_pctBAft2a,pine_iv,uo_iv,meso_iv
Kreher,21,Mixed,Pinus,62.70560296,396.01595,47.37855861,206.3748961,29.04406582,126.5122081,61.30213049,148.1442358,0,151.8557642
Kreher,22,Mixed,Pinus,57.17420917,419.68025,39.68346076,172.8560415,15.59032748,67.90945756,39.28671337,109.2867134,0,190.7132866
Kreher,23,Mixed,Pinus,31.63723017,125.37635,51.2384314,223.1880046,23.27478994,101.3819858,45.42447789,92.09114455,66.63701643,141.271839
MOT,24,Mixed,Pinus,63.27872168,347.57635,47.33236839,206.1736975,30.28984343,131.9386549,63.99393157,147.3272649,0,152.6727351
MOT,25,Pine,Pinus,78.19353759,518.89255,42.44439429,184.8823121,33.15220138,144.4067172,78.10737304,174.2612192,0,125.7387808
MOT,26,Mixed,Pinus,66.37082771,382.184,30.13563018,131.2669218,17.52837628,76.35134838,58.16495682,114.8316235,0,185.1683765
MOT,27,Mixed,Pinus,32.62982083,119.37695,30.93817568,134.7627066,9.820624633,42.77737542,31.74273989,71.32607322,42.22114901,186.4527778
MOT,28,Mixed,Pinus,67.66608325,493.9506,48.50121404,211.2650385,29.70776893,129.4032133,61.25159857,150.1404875,42.97647966,106.8830329
MOT,29,Mixed,Pinus,34.98336389,286.1936,29.1478968,126.9644825,10.76911573,46.90888041,36.94645895,103.6131256,97.48611292,98.90076145
MOT,30,Mixed,Pinus,28.47555129,131.9868,41.62546872,181.3151779,17.26617881,75.20924999,41.47984237,94.8131757,57.44898815,147.7378361
MOT,31,Pine,Pinus,76.60538692,497.67245,41.1254498,179.1371599,31.27330713,136.222496,76.04368411,173.1025076,0,126.8974924
MOT,32,Hardwood,Pinus,10.61292271,39.05165,25.50306087,111.0880468,4.20653239,18.32311304,16.49422559,56.72411064,102.2436602,141.0322292
MOT,33,Mixed,Pinus,32.74184316,127.0984,34.88619806,151.9597833,16.88978668,73.56973436,48.41395056,100.4972839,57.15946343,142.3432527
Tuskegee,34,Mixed,Pinus,45.62923138,254.58565,43.36295877,188.8834607,30.62016178,133.377479,70.61363579,153.9469692,0,146.0530308
Tuskegee,35,Mixed,Pinus,37.59898905,247.91965,36.30955574,158.159746,24.90546024,108.4849755,68.59202689,161.4491697,0,138.5508303
Tuskegee,36,Mixed,Pinus,47.12764362,174.5381,60.82954107,264.9656424,18.67614521,81.35088196,30.70242663,100.7024266,0,199.2975734
Tuskegee,37,Mixed,Pinus,70.21160161,427.6239,38.45759541,167.51633,23.81071303,103.7163977,61.91420126,151.9142013,0,148.0857987
Tuskegee,38,Mixed,Pinus,36.29293584,155.54,40.150836,174.8918678,14.58559299,63.53296359,36.32699701,98.82699702,0,201.173003
Tuskegee,39,Mixed,Pinus,72.30936293,332.91115,35.86174343,156.2091332,24.53601605,106.8757242,68.41835814,157.307247,0,142.692753
Tuskegee,40,Mixed,Pinus,71.94651891,331.80015,48.89930393,212.9990668,34.78578283,151.5223875,71.1375828,146.1375828,0,153.8624172
Tuskegee,41,Pine,Pinus,69.91405849,605.55055,36.53732403,159.1518753,33.74941386,147.0080978,92.36969249,202.6261028,42.13090687,55.24299036
Tuskegee,42,Pine,Pinus,65.75929252,264.36245,37.92889197,165.2133659,28.81059169,125.4952249,75.95948682,181.5150423,0,118.4849577
Tuskegee,43,Mixed,Pinus,49.21837422,227.36615,15.74877161,68.59961975,7.508745515,32.70712789,47.67829328,126.2497218,0,173.7502782
Tuskegee,44,Mixed,Pinus,38.25123153,172.5383,33.58002381,146.2702566,14.41868713,62.80594315,42.93828739,130.4382874,0,169.5617126
Tuskegee,45,Mixed,Pinus,47.25450474,246.1976,28.74965164,125.2297779,12.47256475,54.32888483,43.38335957,118.3833596,63.92141164,117.6952288
Tuskegee,47,Mixed,Pinus,52.55446058,225.14415,30.89897221,134.5919413,11.83657577,51.5585988,38.30734463,87.43015165,75.57918521,136.9906631
Tuskegee,48,Mixed,Pinus,28.66979656,101.7676,29.22145182,127.2848787,10.77035782,46.91429079,36.85770947,120.1910428,0,179.8089572
Tuskegee,49,Pine,Pinus,77.82989368,414.79185,50.37215115,219.4145995,36.91554048,160.7993374,73.28561443,166.1427573,0,133.8572427
Tuskegee,50,Mixed,Pinus,76.53576265,345.35435,60.3770321,262.9945717,37.90067323,165.0904487,62.77332936,136.5828532,0,163.4171468
Tuskegee,51,Pine,Pinus,74.77044163,284.9715,54.66007926,238.0922618,44.60124503,194.277276,81.59747592,167.9611123,0,132.0388877
MOT,52,Mixed,Pinus,20.34343788,64.49355,26.66546317,116.1513215,9.34816459,40.71940035,35.05719937,96.96196128,91.27678213,111.7612566
MOT,53,Mixed,Pinus,20.56539298,110.3223,31.79851719,138.5102433,16.75699948,72.99133043,52.69742417,116.7999883,68.93703356,114.2629782
MOT,54,Mixed,Pinus,71.72200089,450.01055,38.75845293,168.8268266,25.435988,110.795886,65.62694344,167.8008565,0,132.1991435
MOT,55,Mixed,Pinus,44.65039646,240.8648,51.18172223,222.9409868,22.86202786,99.58404735,44.6683442,104.0886341,54.72493338,141.1864326
MOT,56,Mixed,Pinus,31.40958377,149.6517,28.45512101,123.9468404,13.58629265,59.18014005,47.74638858,113.131004,0,186.868996
MOT,57,Mixed,Pinus,44.85083776,243.8645,38.90657218,169.4720149,19.38964838,84.4588098,49.83643456,94.93447376,75.0303331,130.0351931
MOT,58,Hardwood,Pinus,25.03843879,117.59935,33.85836845,147.48269,9.703829343,42.26863019,28.66006186,71.9933952,97.4194786,130.5871262
MOT,59,Mixed,Pinus,65.36964981,307.9692,46.87547329,204.1835213,29.84307913,129.9926071,63.66459265,127.950307,0,172.049693
MOT,60,Mixed,Pinus,87.87693717,639.43605,51.73565562,225.3538492,37.06218475,161.4381009,71.63760525,174.2691842,0,125.7308158
Talladega,61,Mixed,Pinus,67.1676905,285.47145,22.67703405,98.77823818,12.23175452,53.2799465,53.93895202,127.4683638,0,172.5316362
Talladega,62,Mixed,Pinus,65.45662427,254.419,43.82435645,190.8932495,30.20394514,131.5644929,68.92045331,166.2888744,0,133.7111256
Talladega,63,Mixed,Pinus,71.91332301,335.522,45.41042795,197.8019726,31.85837041,138.7709562,70.15650773,163.0136506,0,136.9863494
Talladega,64,Mixed,Pinus,67.08041015,276.1946,30.77736382,134.0622308,21.73622839,94.68020995,70.62407464,143.957408,62.56581387,93.47677818
Talladega,65,Pine,Pinus,76.34294532,439.7338,72.82164981,317.2017228,53.57911149,233.3837055,73.57580011,168.5758001,0,131.4241999
Talladega,66,Hardwood,Pinus,48.38115697,175.14915,58.45936134,254.641445,12.34699719,53.78192875,21.12065016,77.78731683,0,222.2126832
Talladega,67,Hardwood,Pinus,22.48445224,78.3255,41.97379738,182.8324527,10.49566182,45.71775041,25.00527107,67.42951351,96.24296026,136.3275262
Talladega,68,Hardwood,Pinus,4.750869061,15.94285,36.51353024,159.0482326,5.321774088,23.18096217,14.57480023,67.90813356,167.9447659,64.14710055
Talladega,69,Hardwood,Pinus,48.567754,230.7547,51.80692054,225.6642701,13.32192152,58.02857349,25.71455971,99.04789306,146.5218254,54.43028149
Talladega,70,Pine,Pinus,43.86027765,272.02835,28.20417999,122.8537736,27.32912747,119.0421576,96.89743678,196.8974368,51.72633752,51.3762257
Talladega,72,Pine,Pinus,65.01112966,259.58515,23.97579457,104.4354716,22.2225455,96.79854462,92.68742041,206.0207537,48.57869143,45.40055486
Talladega,74,Mixed,Pinus,10.56260342,42.5513,21.4714303,93.52678357,10.1443832,44.187626,47.24595919,110.5792925,93.71265683,95.70805064
Talladega,75,Hardwood,Pinus,6.693892045,20.94235,18.45753735,80.39865426,3.851449866,16.77641932,20.86654245,63.29078487,77.08846406,159.6207511
Talladega,76,Mixed,Pinus,15.48898678,48.82845,25.30758693,110.2365875,13.53338737,58.94969148,53.47561351,124.3089468,93.30097137,82.3900818
Talladega,77,Mixed,Pinus,55.99846193,242.69795,37.10977233,161.6453863,16.88951497,73.56855084,45.51231094,108.8456443,77.55273379,113.6016219
Talladega,78,Hardwood,Pinus,31.47736977,102.37865,47.69393307,207.7486266,9.395790984,40.92685479,19.70018067,73.03351401,125.3215489,101.6449371
Talladega,79,Mixed,Pinus,42.28132388,198.70235,40.34898819,175.7549932,25.124301,109.4382176,62.26748703,141.0553658,46.50654258,112.4380916
Talladega,80,Mixed,Pinus,54.5029367,278.36105,48.68182171,212.0517423,26.81272849,116.7927902,55.07749615,115.6835568,103.5271439,80.78929933
Talladega,81,Mixed,Pinus,58.65433137,387.4057,39.32026584,171.2740112,17.23186607,75.05978811,43.82438852,102.1577219,118.2584796,79.58379853
Talladega,82,Mixed,Pinus,51.2961185,207.757,35.05248288,152.6840986,21.60969046,94.12902701,61.64952858,134.9828619,52.32777223,112.6893658
Talladega,83,Mixed,Pinus,11.55283724,37.774,21.64571107,94.28592817,10.97697175,47.81427447,50.71199425,163.2119942,136.7880058,0
Talladega,84,Mixed,Pinus,29.97294603,116.93275,30.97322591,134.9153809,12.75851719,55.57445682,41.19208384,107.8587505,70.45405557,121.6871939
Talladega,85,Pine,Pinus,51.33075097,228.1994,31.28468002,136.2720348,22.56380977,98.28504781,72.12415075,207.8384364,92.16156355,0
Talladega,86,Mixed,Pinus,44.2099004,165.2057,32.82234882,142.969922,15.91276633,69.3139596,48.48149781,145.4511948,106.2436707,48.30513452
Talladega,87,Pine,Pinus,42.32434232,211.81215,36.71738828,159.936212,27.28336421,118.8428188,74.30638585,210.0206716,89.97932844,0
Talladega,88,Mixed,Pinus,36.41533038,177.8711,33.81431307,147.2907904,21.37734197,93.11694693,63.21980259,153.2198026,146.7801974,0
Talladega,89,Pine,Pinus,83.7229344,431.7346,32.99973482,143.7425925,28.66965327,124.8813153,86.87843535,211.8784353,88.12156467,0
Talladega,91,Mixed,Pinus,7.767784137,31.6635,42.77634288,186.3282374,15.32995433,66.77530567,35.83745899,99.17079231,144.6646002,56.16460747
Talladega,92,Mixed,Pinus,19.14578447,86.15805,55.37975406,241.2270725,24.41627079,106.3541293,44.08880322,104.0888032,145.8540973,50.05709947
Talladega,93,Mixed,Pinus,25.09616505,119.59915,42.97950225,187.2131735,26.24059071,114.3006318,61.05373338,186.0537334,113.9462666,0
Talladega,94,Mixed,Pinus,68.69348301,244.7533,28.73381499,125.1607955,20.2332993,88.13364451,70.41633457,153.7496679,85.17320257,61.07712952
Talladega,95,Pine,Pinus,44.88086813,211.36775,27.61484702,120.2867152,21.81933199,95.0421985,79.01304674,157.5844753,0,142.4155247
Talladega,96,Pine,Pinus,56.45188425,372.79605,39.34708722,171.3908417,30.66697306,133.5813829,77.9396271,151.2729604,102.509125,46.21791457
