Site,Plot,group,Little_type,encr_pct,pine_pct,uo_pct,encr_load,uo_load,pine_load,total_load,BA_m2ha,BA_ft2a,Pine_m2ha,Pine_ft2a,Pine_pctBAft2a,pine_iv,uo_iv,meso_iv
MOT,54,Mixed,Mesophyte,28.03010182,71.72200089,0.2478973,175.8713,1.5554,450.01055,627.43725,38.75845293,168.8268266,25.435988,110.795886,65.62694344,167.8008565,0,132.1991435
MOT,55,Mixed,Mesophyte,33.25095253,44.65039646,22.09865101,179.37095,119.2103,240.8648,539.44605,51.18172223,222.9409868,22.86202786,99.58404735,44.6683442,104.0886341,54.72493338,141.1864326
MOT,56,Mixed,Mesophyte,26.9091757,31.40958377,41.68124053,128.2094,198.59125,149.6517,476.45235,28.45512101,123.9468404,13.58629265,59.18014005,47.74638858,113.131004,0,186.868996
MOT,57,Mixed,Mesophyte,38.9865141,44.85083776,16.16264814,211.9788,87.8801,243.8645,543.7234,38.90657218,169.4720149,19.38964838,84.4588098,49.83643456,94.93447376,75.0303331,130.0351931
MOT,58,Hardwood,Mesophyte,16.57007688,25.03843879,58.39148433,77.82555,274.25035,117.59935,469.67525,33.85836845,147.48269,9.703829343,42.26863019,28.66006186,71.9933952,97.4194786,130.5871262
MOT,59,Mixed,Mesophyte,34.00542389,65.36964981,0.624926306,160.2062,2.94415,307.9692,471.11955,46.87547329,204.1835213,29.84307913,129.9926071,63.66459265,127.950307,0,172.049693
MOT,60,Mixed,Mesophyte,11.87876937,87.87693717,0.244293458,86.4358,1.7776,639.43605,727.64945,51.73565562,225.3538492,37.06218475,161.4381009,71.63760525,174.2691842,0,125.7308158
Talladega,61,Mixed,Mesophyte,32.8323095,67.1676905,0,139.5416,0,285.47145,425.01305,22.67703405,98.77823818,12.23175452,53.2799465,53.93895202,127.4683638,0,172.5316362
Talladega,62,Mixed,Mesophyte,28.05488067,65.45662427,6.488495069,109.04465,25.2197,254.419,388.68335,43.82435645,190.8932495,30.20394514,131.5644929,68.92045331,166.2888744,0,133.7111256
Talladega,63,Mixed,Mesophyte,28.08667699,71.91332301,0,131.04245,0,335.522,466.56445,45.41042795,197.8019726,31.85837041,138.7709562,70.15650773,163.0136506,0,136.9863494
Talladega,64,Mixed,Mesophyte,15.94711279,67.08041015,16.97247706,65.6601,69.8819,276.1946,411.7366,30.77736382,134.0622308,21.73622839,94.68020995,70.62407464,143.957408,62.56581387,93.47677818
Talladega,65,Pine,Mesophyte,19.21111004,76.34294532,4.445944643,110.6556,25.60855,439.7338,575.99795,72.82164981,317.2017228,53.57911149,233.3837055,73.57580011,168.5758001,0,131.4241999
