Site,Plot,group,Biomass_Load_Source,Load_kgm2,Pine_ft2a,Pine_pctBAft2a,pine_iv,uo_iv,meso_iv
MOT,58,< 30% Pine,Shrubs,0.036,42.26863019,28.66006186,71.9933952,97.4194786,130.5871262
MOT,59,30 - 70% Pine,Shrubs,0,129.9926071,63.66459267,127.950307,0,172.049693
MOT,60,30 - 70% Pine,Shrubs,0.105,161.4381009,71.63760525,174.2691842,0,125.7308158
Talladega,61,30 - 70% Pine,Shrubs,0.054,53.2799465,53.93895202,127.4683638,0,172.5316362
Talladega,62,30 - 70% Pine,Shrubs,0.015,131.5644929,68.92045334,166.2888744,0,133.7111256
Talladega,63,30 - 70% Pine,Shrubs,0.033,138.7709562,70.15650777,163.0136506,0,136.9863494
Talladega,64,30 - 70% Pine,Shrubs,0.3,94.68020995,70.62407462,143.957408,62.56581387,93.47677818
Talladega,65,>70% Pine,Shrubs,0.039,233.3837055,73.57580009,168.5758001,0,131.4241999
Talladega,66,< 30% Pine,Shrubs,0.009,53.78192875,21.12065016,77.78731683,0,222.2126832
Talladega,67,< 30% Pine,Shrubs,0.87,45.71775041,25.00527108,67.42951351,96.24296026,136.3275262
Talladega,68,< 30% Pine,Shrubs,0.0165,23.18096217,14.57480023,67.90813356,167.9447659,64.14710055
Talladega,69,< 30% Pine,Shrubs,0.486,58.02857349,25.71455972,99.04789306,146.5218254,54.43028149
Talladega,70,>70% Pine,Shrubs,0.342,119.0421576,96.89743678,196.8974368,51.72633752,51.3762257
Talladega,72,>70% Pine,Shrubs,0.102,96.79854462,92.68742037,206.0207537,48.57869143,45.40055486
Talladega,74,30 - 70% Pine,Shrubs,0.012,44.187626,47.24595919,110.5792925,93.71265683,95.70805064
Talladega,75,< 30% Pine,Shrubs,0.096,16.77641932,20.86654245,63.29078487,77.08846406,159.6207511
Talladega,76,30 - 70% Pine,Shrubs,0.276,58.94969148,53.4756135,124.3089468,93.30097137,82.3900818
Talladega,77,30 - 70% Pine,Shrubs,0.27,73.56855084,45.51231094,108.8456443,77.55273379,113.6016219
Talladega,78,< 30% Pine,Shrubs,0.837,40.92685479,19.70018067,73.03351401,125.3215489,101.6449371
Talladega,79,30 - 70% Pine,Shrubs,0.456,109.4382176,62.26748705,141.0553658,46.50654258,112.4380916
Talladega,80,30 - 70% Pine,Shrubs,0.63,116.7927902,55.07749617,115.6835568,103.5271439,80.78929933
Talladega,81,30 - 70% Pine,Shrubs,0.975,75.05978811,43.82438853,102.1577219,118.2584796,79.58379853
Talladega,82,30 - 70% Pine,Shrubs,1.173,94.12902701,61.6495286,134.9828619,52.32777223,112.6893658
Talladega,83,30 - 70% Pine,Shrubs,0.096,47.81427447,50.71199425,163.2119942,136.7880058,0
Talladega,84,30 - 70% Pine,Shrubs,0.108,55.57445682,41.19208385,107.8587505,70.45405557,121.6871939
Talladega,85,>70% Pine,Shrubs,0.009,98.28504781,72.12415073,207.8384364,92.16156355,0
Talladega,86,30 - 70% Pine,Shrubs,0.036,69.3139596,48.48149782,145.4511948,106.2436707,48.30513452
Talladega,87,>70% Pine,Shrubs,0.282,118.8428188,74.30638585,210.0206716,89.97932844,0
Talladega,88,30 - 70% Pine,Shrubs,0.078,93.11694693,63.21980258,153.2198026,146.7801974,0
Talladega,89,>70% Pine,Shrubs,0.312,124.8813153,86.87843533,211.8784353,88.12156467,0
Talladega,91,30 - 70% Pine,Shrubs,0.06,66.77530567,35.83745899,99.17079231,144.6646002,56.16460747
Talladega,92,30 - 70% Pine,Shrubs,0,106.3541293,44.08880322,104.0888032,145.8540973,50.05709947
Talladega,93,30 - 70% Pine,Shrubs,0.06,114.3006318,61.05373338,186.0537334,113.9462666,0
Talladega,94,30 - 70% Pine,Shrubs,0.081,88.13364451,70.41633458,153.7496679,85.17320257,61.07712952
Talladega,95,>70% Pine,Shrubs,0.114,95.0421985,79.01304674,157.5844753,0,142.4155247
Talladega,96,>70% Pine,Shrubs,0.417,133.5813829,77.93962711,151.2729604,102.509125,46.21791457
Talladega,97,30 - 70% Pine,Shrubs,0.042,119.0822283,69.88897235,133.2223057,110.816571,55.96112329
Talladega,98,30 - 70% Pine,Shrubs,0.048,121.5329635,67.14452251,145.7159511,0,154.2840489
Talladega,99,30 - 70% Pine,Shrubs,0.138,141.2441783,43.67702271,104.7881338,0,195.2118662
Talladega,100,30 - 70% Pine,Shrubs,0.54,93.49161607,61.92623203,152.4024225,97.14730476,50.45027274
Talladega,101,30 - 70% Pine,Shrubs,0.36,83.58317285,54.99461019,148.3279435,60.86650373,90.80555275
Talladega,102,30 - 70% Pine,Shrubs,0.294,81.06210268,67.30171832,157.7779088,75.5416679,66.68042331
CR,103,>70% Pine,Shrubs,0.0225,128.7566724,82.70215677,178.1567022,0,121.8432978
CR,104,30 - 70% Pine,Shrubs,0.0012,73.28399842,56.90530268,123.5719694,86.81103861,89.61699204
CR,105,30 - 70% Pine,Shrubs,0.0012,90.20615998,48.16739132,106.5007247,74.2937037,119.2055716
CR,106,>70% Pine,Shrubs,0.048,87.8091905,76.97353697,180.3068703,74.33093973,45.36218996
CR,107,>70% Pine,Shrubs,0.0231,133.7064981,88.74064133,192.66221,59.61292623,47.72486382
Tuskegee,1,30 - 70% Pine,Litter,0.6815985,108.2129346,47.81564078,102.8881045,45.71857933,151.3933161
Tuskegee,2,>70% Pine,Litter,0.4787299,126.5952237,75.73085575,161.4451415,0,138.5548585
Tuskegee,2.2,>70% Pine,Litter,0.44612205,108.624462,83.5404078,166.8737411,0,133.1262589
Tuskegee,3,30 - 70% Pine,Litter,0.6016065,114.6076711,67.00522517,157.0052252,0,142.9947748
Tuskegee,3.2,30 - 70% Pine,Litter,0.5348354,109.8671597,69.01662606,152.3499594,0,147.6500406
Tuskegee,6,30 - 70% Pine,Litter,0.62799275,71.35519629,38.30105837,98.90711897,84.64802139,116.4448596
Tuskegee,7,>70% Pine,Litter,0.52844715,117.7218547,86.60304161,176.6030416,0,123.3969584
Tuskegee,7.2,30 - 70% Pine,Litter,0.6024953,172.8788665,66.92067045,140.4500822,0,159.5499178
Tuskegee,8,30 - 70% Pine,Litter,0.48467375,141.0380765,63.40971544,168.965271,0,131.034729
Tuskegee,9,30 - 70% Pine,Litter,0.38012865,138.7056935,51.7982023,115.1315356,93.28678717,91.58167719
Tuskegee,12,30 - 70% Pine,Litter,0.74598095,67.29808409,57.14937967,157.1493797,142.8506203,0
Tuskegee,17,>70% Pine,Litter,0.5063938,146.8092662,74.33399451,180.5839945,0,119.4160055
Kreher,19,30 - 70% Pine,Litter,0.57233165,121.0267544,41.09691046,107.7635771,61.64899863,130.5874242
Kreher,20,30 - 70% Pine,Litter,0.5591663,176.335426,69.16525798,144.165258,0,155.834742
Kreher,21,30 - 70% Pine,Litter,0.63154795,126.5122081,61.30213048,148.1442358,0,151.8557642
