Site,Plot,group,functional,seedling,sapling,BA_m2ha,BA_ft2a,Pine_m2ha,Pine_ft2a,Pine_pctBAft2a,pine_iv,uo_iv,meso_iv
MOT,25,above70,uo,0,0,42.44439429,184.8823121,33.15220138,144.4067172,78.10737305,174.2612192,0,125.7387808
MOT,26,bw3070,uo,0,0,30.13563018,131.2669218,17.52837628,76.35134838,58.16495682,114.8316235,0,185.1683765
MOT,27,bw3070,uo,0,0,30.93817568,134.7627066,9.820624633,42.77737542,31.74273989,71.32607322,42.22114901,186.4527778
MOT,28,bw3070,uo,0,0,48.50121404,211.2650385,29.70776893,129.4032133,61.25159859,150.1404875,42.97647966,106.8830329
MOT,29,bw3070,uo,88.49557522,27.77777778,29.1478968,126.9644825,10.76911573,46.90888041,36.94645896,103.6131256,97.48611292,98.90076145
MOT,30,bw3070,uo,0,0,41.62546872,181.3151779,17.26617881,75.20924999,41.47984237,94.8131757,57.44898815,147.7378361
MOT,31,above70,uo,0,0,41.1254498,179.1371599,31.27330713,136.222496,76.0436841,173.1025076,0,126.8974924
MOT,32,below30,uo,0,0,25.50306087,111.0880468,4.20653239,18.32311304,16.49422558,56.72411064,102.2436602,141.0322292
MOT,33,bw3070,uo,0,0,34.88619806,151.9597833,16.88978668,73.56973436,48.41395056,100.4972839,57.15946343,142.3432527
Tuskegee,34,bw3070,uo,0,0,43.36295877,188.8834607,30.62016178,133.377479,70.61363581,153.9469692,0,146.0530308
Tuskegee,35,bw3070,uo,88.49557522,0,36.30955574,158.159746,24.90546024,108.4849755,68.59202689,161.4491697,0,138.5508303
Tuskegee,36,bw3070,uo,0,0,60.82954107,264.9656424,18.67614521,81.35088196,30.70242663,100.7024266,0,199.2975734
Tuskegee,37,bw3070,uo,0,0,38.45759541,167.51633,23.81071303,103.7163977,61.91420128,151.9142013,0,148.0857987
Tuskegee,38,bw3070,uo,0,0,40.150836,174.8918678,14.58559299,63.53296359,36.32699701,98.82699702,0,201.173003
Tuskegee,39,bw3070,uo,0,0,35.86174343,156.2091332,24.53601605,106.8757242,68.41835812,157.307247,0,142.692753
Tuskegee,40,bw3070,uo,0,0,48.89930393,212.9990668,34.78578283,151.5223875,71.13758281,146.1375828,0,153.8624172
Tuskegee,41,above70,uo,0,0,36.53732403,159.1518753,33.74941386,147.0080978,92.36969251,202.6261028,42.13090687,55.24299036
Tuskegee,42,above70,uo,0,0,37.92889197,165.2133659,28.81059169,125.4952249,75.9594868,181.5150423,0,118.4849577
Tuskegee,43,bw3070,uo,0,0,15.74877161,68.59961975,7.508745515,32.70712789,47.67829327,126.2497218,0,173.7502782
Tuskegee,44,bw3070,uo,0,0,33.58002381,146.2702566,14.41868713,62.80594315,42.93828739,130.4382874,0,169.5617126
Tuskegee,45,bw3070,uo,442.4778761,0,28.74965164,125.2297779,12.47256475,54.32888483,43.38335957,118.3833596,63.92141164,117.6952288
Tuskegee,47,bw3070,uo,88.49557522,0,30.89897221,134.5919413,11.83657577,51.5585988,38.30734463,87.43015165,75.57918521,136.9906631
Tuskegee,48,bw3070,uo,0,0,29.22145182,127.2848787,10.77035782,46.91429079,36.85770948,120.1910428,0,179.8089572
Tuskegee,49,above70,uo,0,0,50.37215115,219.4145995,36.91554048,160.7993374,73.28561444,166.1427573,0,133.8572427
Tuskegee,50,bw3070,uo,0,0,60.3770321,262.9945717,37.90067323,165.0904487,62.77332939,136.5828532,0,163.4171468
Tuskegee,51,above70,uo,0,0,54.66007926,238.0922618,44.60124503,194.277276,81.59747594,167.9611123,0,132.0388877
MOT,52,bw3070,uo,0,27.77777778,26.66546317,116.1513215,9.34816459,40.71940035,35.05719938,96.96196128,91.27678213,111.7612566
MOT,53,bw3070,uo,0,0,31.79851719,138.5102433,16.75699948,72.99133043,52.69742415,116.7999883,68.93703356,114.2629782
MOT,54,bw3070,uo,0,0,38.75845293,168.8268266,25.435988,110.795886,65.62694347,167.8008565,0,132.1991435
MOT,55,bw3070,uo,0,0,51.18172223,222.9409868,22.86202786,99.58404735,44.66834421,104.0886341,54.72493338,141.1864326
MOT,56,bw3070,uo,0,27.77777778,28.45512101,123.9468404,13.58629265,59.18014005,47.74638857,113.131004,0,186.868996
MOT,57,bw3070,uo,0,27.77777778,38.90657218,169.4720149,19.38964838,84.4588098,49.83643454,94.93447376,75.0303331,130.0351931
MOT,58,below30,uo,0,0,33.85836845,147.48269,9.703829343,42.26863019,28.66006186,71.9933952,97.4194786,130.5871262
MOT,59,bw3070,uo,0,0,46.87547329,204.1835213,29.84307913,129.9926071,63.66459267,127.950307,0,172.049693
MOT,60,bw3070,uo,0,0,51.73565562,225.3538492,37.06218475,161.4381009,71.63760525,174.2691842,0,125.7308158
Talladega,61,bw3070,uo,88.49557522,0,22.67703405,98.77823818,12.23175452,53.2799465,53.93895202,127.4683638,0,172.5316362
Talladega,62,bw3070,uo,88.49557522,0,43.82435645,190.8932495,30.20394514,131.5644929,68.92045334,166.2888744,0,133.7111256
Talladega,63,bw3070,uo,176.9911504,0,45.41042795,197.8019726,31.85837041,138.7709562,70.15650777,163.0136506,0,136.9863494
Talladega,64,bw3070,uo,0,55.55555556,30.77736382,134.0622308,21.73622839,94.68020995,70.62407462,143.957408,62.56581387,93.47677818
Talladega,65,above70,uo,0,55.55555556,72.82164981,317.2017228,53.57911149,233.3837055,73.57580009,168.5758001,0,131.4241999
Talladega,66,below30,uo,0,0,58.45936134,254.641445,12.34699719,53.78192875,21.12065016,77.78731683,0,222.2126832
Talladega,67,below30,uo,88.49557522,0,41.97379738,182.8324527,10.49566182,45.71775041,25.00527108,67.42951351,96.24296026,136.3275262
Talladega,68,below30,uo,176.9911504,0,36.51353024,159.0482326,5.321774088,23.18096217,14.57480023,67.90813356,167.9447659,64.14710055
Talladega,69,below30,uo,88.49557522,0,51.80692054,225.6642701,13.32192152,58.02857349,25.71455972,99.04789306,146.5218254,54.43028149
